1554778800063789 3.90071 3.90071 0 6.8125 6.8125 0 0
1554778800110001 4.16409 3.90334 0.00260751 6.9375 6.81375 0.0012375 0
1554778800149879 4.01517 3.90334 0.00260751 6.75 6.81375 0.0012375 1
1554778800189071 3.82843 3.90334 0.00260751 6.625 6.81375 0.0012375 1
1554778800223155 3.74408 3.90334 0.00260751 6.5 6.81375 0.0012375 1
1554778800262598 3.91785 3.90348 0.00272506 6.8125 6.81374 0.0012375 0
1554778800300907 3.97205 3.90417 0.0033766 6.8125 6.81372 0.00123737 0
1554778800339052 3.71377 3.90417 0.0033766 6.75 6.81372 0.00123737 1
1554778800377113 3.73785 3.90417 0.0033766 6.5625 6.81372 0.00123737 1
1554778800408847 3.68279 3.90417 0.0033766 6.5 6.81372 0.00123737 1
1554778800444993 3.90975 3.90417 0.0033766 6.625 6.81372 0.00123737 1
1554778800482812 4.06648 3.90579 0.00494969 6.8125 6.81371 0.00123712 0
1554778800518865 4.1578 3.90579 0.00494969 6.75 6.81371 0.00123712 1
1554778800557376 4.0957 3.90579 0.00494969 6.625 6.81371 0.00123712 1
1554778800591743 4.45871 3.90579 0.00494969 6.75 6.81371 0.00123712 1
1554778800621993 4.31945 3.90579 0.00494969 6.75 6.81371 0.00123712 1
1554778800648508 4.5034 3.90579 0.00494969 6.625 6.81371 0.00123712 1
1554778800676582 4.74673 3.9142 0.0132254 6.8125 6.8137 0.00123675 0
1554778800706184 4.6876 3.92194 0.0207498 6.875 6.81431 0.00183126 0
1554778800736869 4.3814 3.92653 0.025091 6.875 6.81492 0.00241375 0
1554778800767665 4.61732 3.93344 0.0316789 7.125 6.81802 0.0054594 0
1554778800803140 4.56046 3.93344 0.0316789 6.6875 6.81802 0.0054594 1
1554778800836035 4.52611 3.93344 0.0316789 6.6875 6.81802 0.0054594 1
1554778800863744 4.66779 3.94078 0.0386321 7 6.81984 0.0072064 0
1554778800897776 4.43706 3.94575 0.043159 6.9375 6.82102 0.00829916 0
1554778800933373 4.43829 3.95067 0.0476035 6.875 6.82156 0.00875059 0
1554778800971259 4.1365 3.95067 0.0476035 6.75 6.82156 0.00875059 1
1554778801009188 4.75387 3.9587 0.0550791 6.9375 6.82272 0.00981091 0
1554778801043531 4.10524 3.9587 0.0550791 6.75 6.82272 0.00981091 1
